Gene,LDC.Phenotype,Fitness_Score_LDC,Description,Gene.symbol,P.Value,FDR,log2(_rpaA/WT).Microarray,*Direct_target_of_RpaA?,***Essential_in_CLC
Synpcc7942_1425,Not analyzed,,carbon dioxide concentrating mechanism protein CcmO,"ccmO, hcr",,,-0.102338402,No,essential
Synpcc7942_0603,Not analyzed,,glucose-1-phosphate adenylyltransferase,"glgC, agp",,,0.302888615,No,beneficial
Synpcc7942_0604,Not analyzed,,ribulose-phosphate 3-epimerase,"rpe, cbbE, ppe",,,0.528558492,No,essential
Synpcc7942_1428,Not analyzed,,phosphoribosylaminoimidazole carboxylase ATPase subunit,purK,,,0.063367215,No,essential
Synpcc7942_1429,ND (below stat. threshold of conf.),0.159,ORF 3 (Uncharacterized protein),N/A,3.17E-01,4.70E-01,-0.200679538,No,non-essential
Synpcc7942_1430,ND (below stat. threshold of conf.),-0.181,Uncharacterized protein,N/A,4.55E-02,1.10E-01,-0.247516397,No,non-essential
Synpcc7942_1431,Negligable/minor,-0.464,Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Rotamase),N/A,1.17E-03,5.32E-03,-0.201727329,No,non-essential
Synpcc7942_1432,Not analyzed,,"bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II protein",ribA,,,0.147081479,No,essential
Synpcc7942_1433,Not analyzed,,N-acetyl-gamma-glutamyl-phosphate reductase,argC,,,0.121661593,No,essential
Synpcc7942_1434,Moderate decrease,-0.644,Uncharacterized protein,N/A,1.94E-05,1.31E-04,0.350359232,No,non-essential
Synpcc7942_1435,Not analyzed,,"2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylic acid synthase/2-oxoglutarate decarboxylase",menD,,,0.065283566,No,essential
Synpcc7942_1436,Increase,1.208,Uncharacterized protein,N/A,9.24E-15,1.60E-13,0.116295728,No,non-essential
Synpcc7942_1437,ND (below stat. threshold of conf.),0.267,Uncharacterized protein,N/A,1.21E-01,2.38E-01,0.136821605,No,non-essential
Synpcc7942_1438,Increase,1.648,Putative anti-sigma regulatory factor,nblC,1.09E-20,3.18E-19,0.779578225,No,beneficial
Synpcc7942_1439,Increase,1.179,"NAD(P)H-quinone oxidoreductase chain 4 1 (EC 1.6.5.-) (NAD(P)H dehydrogenase I, chain 4 1) (NDH-1, chain 4 1)",ndhD2,9.42E-26,3.83E-24,0.734730498,No,beneficial
Synpcc7942_1440,Not analyzed,,homoserine kinase,thrB,,,0.263182387,No,essential
Synpcc7942_1441,Not analyzed,,cobalamin biosynthesis protein,cobD,,,0.0603989,No,essential
Synpcc7942_1442,ND (below stat. threshold of conf.),-0.185,Uncharacterized protein,N/A,4.18E-01,5.72E-01,0.278264199,No,non-essential
Synpcc7942_0977,Not analyzed,,phosphoribulokinase,prk,,,0.009499909,No,essential
Synpcc7942_1444,Moderate decrease,-0.709,Uncharacterized protein,N/A,2.12E-03,8.96E-03,0.030412955,No,non-essential
Synpcc7942_1445,ND (below stat. threshold of conf.),0.049,Uncharacterized protein,N/A,6.27E-01,7.41E-01,-0.579959439,No,non-essential
Synpcc7942_1446,ND (below stat. threshold of conf.),-0.020,Uncharacterized protein,N/A,9.04E-01,9.39E-01,-0.682299905,No,non-essential
Synpcc7942_1447,Not analyzed,,Carbonate dehydratase,"icfA, ccaA",,,0.424064656,No,essential
Synpcc7942_1448,ND (below stat. threshold of conf.),-0.116,Quinolinate synthase A (EC 2.5.1.72),N/A,5.92E-01,7.16E-01,0.080949126,No,beneficial
Synpcc7942_1449,Not analyzed,,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase,lpxD,,,-0.062349468,No,essential
Synpcc7942_1450,ND (below stat. threshold of conf.),-0.144,ATPase,N/A,8.09E-02,1.72E-01,0.17027942,No,non-essential
Synpcc7942_1451,ND (below stat. threshold of conf.),0.051,Uncharacterized protein,N/A,6.26E-01,7.39E-01,-0.02230154,No,non-essential
Synpcc7942_1452,ND (below stat. threshold of conf.),-0.054,DNA repair protein RadA,N/A,4.08E-01,5.61E-01,0.132829188,No,non-essential
Synpcc7942_1453,Not analyzed,,"two component transcriptional regulator, winged helix family",rpaB,,,6.07585E-05,No,essential
Synpcc7942_1454,Not analyzed,,fatty acid/phospholipid synthesis protein,plsX,,,0.420812535,No,essential
Synpcc7942_1455,Not analyzed,,3-oxoacyl-(acyl carrier protein) synthase III,fabH,,,0.204039914,No,essential
Synpcc7942_1456,Not analyzed,,malonyl CoA-acyl carrier protein transacylase,N/A,,,0.267174066,No,essential
Synpcc7942_1457,Not analyzed,,1-acyl-sn-glycerol-3-phosphate acyltransferase,plsC,,,0.11069286,No,essential
Synpcc7942_1458,Moderate decrease,-0.905,Uncharacterized protein,N/A,2.23E-10,2.79E-09,-0.086287856,No,non-essential
Synpcc7942_1459,Not analyzed,,hypothetical protein,N/A,,,-0.097594581,No,essential
Synpcc7942_1460,ND (below stat. threshold of conf.),-0.127,Uncharacterized protein,N/A,7.62E-01,8.44E-01,-0.344339384,No,non-essential
Synpcc7942_1461,ND (below stat. threshold of conf.),0.023,Thiol oxidoreductase-like,N/A,7.16E-01,8.08E-01,0.048128467,No,non-essential
Synpcc7942_1462,ND (below stat. threshold of conf.),-0.096,Iron-regulated protein A,N/A,2.79E-01,4.28E-01,0.212026589,No,non-essential
Synpcc7942_1463,ND (below stat. threshold of conf.),-0.025,Probable porin,N/A,6.51E-01,7.58E-01,-0.101042377,No,non-essential
Synpcc7942_1464,ND (below stat. threshold of conf.),-0.412,Probable porin,N/A,5.39E-03,1.92E-02,0.163709638,No,beneficial
Synpcc7942_1465,ND (below stat. threshold of conf.),-0.387,"Transcriptional regulator, BadM/Rrf2 family",N/A,2.49E-01,3.94E-01,-0.199158729,No,non-essential
Synpcc7942_1466,ND (below stat. threshold of conf.),-0.289,Cysteine synthase (EC 2.5.1.47),N/A,6.29E-02,1.43E-01,-0.071955244,No,non-essential
Synpcc7942_1467,ND (below stat. threshold of conf.),0.163,Heat shock protein DnaJ-like,N/A,2.38E-01,3.84E-01,-0.164676546,No,non-essential
Synpcc7942_1468,Not analyzed,,putative monovalent cation/H+ antiporter subunit B,N/A,,,0.097353655,No,beneficial
Synpcc7942_1469,ND (below stat. threshold of conf.),-0.457,Putative multicomponent Na+:H+ antiporter subunit B,N/A,4.85E-02,1.16E-01,-0.027112457,No,beneficial
Synpcc7942_1470,Not analyzed,,hypothetical protein,N/A,,,0.217721553,No,beneficial
Synpcc7942_1471,Not analyzed,,hypothetical protein,N/A,,,-0.039525708,No,ambiguous
Synpcc7942_1472,Not analyzed,,hypothetical protein,N/A,,,-0.126616099,No,beneficial
Synpcc7942_1473,Not analyzed,,putative monovalent cation/H+ antiporter subunit D,ndhD5,,,-0.067746249,No,beneficial
Synpcc7942_1474,Not analyzed,,putative monovalent cation/H+ antiporter subunit C,N/A,,,-0.136866056,No,essential
Synpcc7942_1475,ND (below stat. threshold of conf.),0.155,Sodium-dependent bicarbonate transporter,N/A,1.71E-01,3.03E-01,0.222934168,Yes,beneficial
Synpcc7942_1476,Decrease,-2.261,Uncharacterized protein,N/A,2.33E-11,3.12E-10,-0.583737637,No,non-essential
Synpcc7942_1477,Negligable/minor,-0.275,Uncharacterized protein,N/A,1.13E-07,1.04E-06,0.082068827,No,non-essential
Synpcc7942_1478,Negligable/minor,-0.381,CytM (Cytochrome CytM),N/A,1.66E-03,7.25E-03,0.135344113,No,beneficial
Synpcc7942_1479,Not analyzed,,cytochrome b6f complex subunit PetG,petG,,,-0.819636915,No,essential
Synpcc7942_1480,Negligable/minor,0.408,Uncharacterized protein,N/A,8.41E-04,4.07E-03,0.221087291,No,non-essential
Synpcc7942_1481,Not analyzed,,imidazole glycerol phosphate synthase subunit HisH,hisH,,,0.53144165,No,essential
Synpcc7942_1482,ND (below stat. threshold of conf.),0.237,Uncharacterized protein,N/A,1.25E-01,2.43E-01,0.08400639,No,beneficial
Synpcc7942_1483,ND (below stat. threshold of conf.),-0.317,Uncharacterized protein,N/A,1.51E-02,4.60E-02,0.227005483,No,non-essential
Synpcc7942_1484,Not analyzed,,"UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase",murE,,,0.119977037,No,essential
Synpcc7942_1485,ND (below stat. threshold of conf.),-0.489,Uncharacterized protein,N/A,3.17E-02,8.35E-02,0.501658694,No,non-essential
Synpcc7942_1486,ND (below stat. threshold of conf.),-0.277,Putative membrane protein insertion efficiency factor,N/A,2.46E-02,6.86E-02,0.497530043,No,non-essential
Synpcc7942_1487,Not analyzed,,30S ribosomal protein S4,"rpsD, rps4",,,0.197548196,No,essential
Synpcc7942_1488,Decrease,-1.030,Bicarbonate-binding protein CmpA,cmpA,5.65E-18,1.31E-16,0.012730689,No,non-essential
Synpcc7942_1489,Moderate decrease,-0.502,Bicarbonate transport system permease protein CmpB,N/A,4.40E-04,2.31E-03,-0.07738672,No,non-essential
Synpcc7942_1490,Moderate decrease,-0.723,Bicarbonate transport ATP-binding protein CmpC (EC 3.6.3.-),N/A,1.12E-30,5.98E-29,-0.006565044,No,non-essential
Synpcc7942_1491,Moderate decrease,-0.948,Bicarbonate transport ATP-binding protein CmpD (EC 3.6.3.-),N/A,4.26E-14,6.99E-13,0.016002544,No,non-essential
Synpcc7942_1492,Negligable/minor,-0.380,Uncharacterized protein,N/A,6.03E-04,3.09E-03,0.21605222,No,non-essential
Synpcc7942_1493,ND (below stat. threshold of conf.),0.004,MazG family protein,N/A,9.62E-01,9.77E-01,0.220727387,No,non-essential
Synpcc7942_1494,ND (below stat. threshold of conf.),-0.358,Uncharacterized protein,N/A,2.95E-03,1.19E-02,0.201557457,No,ambiguous
Synpcc7942_1495,Negligable/minor,-0.369,Uncharacterized protein,N/A,1.82E-03,7.83E-03,0.055043366,No,non-essential
Synpcc7942_1496,Not analyzed,,acetylglutamate kinase,argB,,,0.012579071,No,essential
Synpcc7942_1497,Not analyzed,,hypothetical protein,N/A,,,0.01394249,No,essential
Synpcc7942_1498,ND (below stat. threshold of conf.),0.003,Uncharacterized protein,N/A,9.86E-01,9.89E-01,-0.059478935,No,non-essential
Synpcc7942_1499,Not analyzed,,Ferredoxin (2Fe-2S),"petF, petF1, petFI, fedI",,,-0.587517337,No,essential
Synpcc7942_1500,ND (below stat. threshold of conf.),0.057,Ribosomal protein L11 methyltransferase (L11 Mtase) (EC 2.1.1.-),N/A,4.82E-01,6.22E-01,-0.030932931,No,non-essential
Synpcc7942_1501,Not analyzed,,D-3-phosphoglycerate dehydrogenase,serA,,,0.132832959,No,essential
Synpcc7942_1502,ND (below stat. threshold of conf.),0.068,Uncharacterized protein,N/A,4.96E-01,6.34E-01,0.260547073,No,non-essential
Synpcc7942_1503,ND (below stat. threshold of conf.),-0.251,RNA-binding S4,N/A,6.69E-03,2.34E-02,1.31133313,No,non-essential
Synpcc7942_1504,Negligable/minor,-0.414,Uncharacterized protein,N/A,7.62E-04,3.76E-03,-0.366586125,No,non-essential
Synpcc7942_1505,Not analyzed,,3-isopropylmalate dehydrogenase,leuB,,,-0.01415467,Yes,essential
Synpcc7942_1506,ND (below stat. threshold of conf.),-0.117,Uncharacterized protein,N/A,4.12E-01,5.65E-01,-0.750690024,Yes,non-essential
Synpcc7942_1507,Increase,1.294,Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA),lipA,1.28E-24,4.88E-23,0.135025569,No,non-essential
Synpcc7942_1508,ND (below stat. threshold of conf.),-0.024,Uncharacterized protein,N/A,7.60E-01,8.42E-01,0.129753109,No,non-essential
Synpcc7942_1509,Not analyzed,,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,trmU,,,-0.125826248,No,essential
Synpcc7942_1510,Moderate decrease,-0.645,Group3 RNA polymerase sigma factor SigF,N/A,1.47E-09,1.68E-08,-0.337497785,No,non-essential
Synpcc7942_1511,Moderate decrease,-0.502,Uncharacterized protein,N/A,2.20E-03,9.20E-03,0.122383162,No,non-essential
Synpcc7942_1512,Not analyzed,,zeta-carotene desaturase,"crtQb, crtQ, zds",,,0.265132806,No,essential
Synpcc7942_1513,Not analyzed,,1-deoxy-D-xylulose 5-phosphate reductoisomerase,dxr,,,0.397355911,No,essential
Synpcc7942_1514,ND (below stat. threshold of conf.),-0.174,Pseudouridine synthase (EC 5.4.99.-),N/A,1.01E-01,2.07E-01,0.313346775,No,non-essential
Synpcc7942_1515,ND (below stat. threshold of conf.),-0.211,Protein serine/threonine phosphatase,N/A,6.61E-02,1.48E-01,0.240564136,No,non-essential
Synpcc7942_1516,Not analyzed,,phosphoglycerate mutase,N/A,,,-0.106776899,No,essential
Synpcc7942_1517,Not analyzed,,histidine kinase,N/A,,,-0.044292523,No,essential
Synpcc7942_1518,Negligable/minor,-0.239,DNA helicase (EC 3.6.4.12),N/A,2.92E-05,1.90E-04,-0.022433727,No,non-essential
Synpcc7942_1519,Not analyzed,,histidinol dehydrogenase,hisD,,,0.19644518,No,essential
Synpcc7942_1520,Not analyzed,,30S ribosomal protein S20,"rpsT, rps20",,,0.197368402,No,essential
Synpcc7942_1521,Negligable/minor,-0.488,D-aminoacyl-tRNA deacylase (EC 3.1.1.96),N/A,8.46E-06,6.11E-05,0.143979103,No,non-essential
Synpcc7942_1522,Not analyzed,,DNA-directed RNA polymerase subunit beta,rpoB,,,-0.076248288,No,essential
Synpcc7942_1523,Not analyzed,,DNA-directed RNA polymerase subunit gamma,"rpoC1, rpoC",,,-0.196785506,No,essential
Synpcc7942_1524,Not analyzed,,DNA-directed RNA polymerase subunit beta',rpoC2,,,-0.027150172,No,essential
Synpcc7942_1525,Negligable/minor,0.437,GTP-binding protein TypA,N/A,1.47E-06,1.18E-05,0.340577371,No,non-essential
Synpcc7942_1526,ND (below stat. threshold of conf.),-0.001,Uncharacterized protein,N/A,9.92E-01,9.93E-01,0.1445575,No,non-essential
Synpcc7942_1527,Negligable/minor,-0.497,Nitrogen assimilation regulatory protein,N/A,1.49E-21,4.71E-20,0.084485333,No,non-essential
Synpcc7942_1528,ND (below stat. threshold of conf.),-0.370,Uncharacterized protein,N/A,9.90E-03,3.25E-02,-0.116682798,No,non-essential
Synpcc7942_1529,Not analyzed,,hypothetical protein,N/A,,,-0.043182933,No,essential
Synpcc7942_1530,ND (below stat. threshold of conf.),0.245,Molybdenum-pterin binding domain,N/A,9.11E-02,1.89E-01,0.037834976,No,non-essential
Synpcc7942_1531,ND (below stat. threshold of conf.),-0.025,"Molybdenum ABC transporter, periplasmic molybdate-binding protein",N/A,9.24E-01,9.51E-01,0.160460501,No,non-essential
Synpcc7942_1532,Not analyzed,,"Molybdate ABC transporter, permease protein",N/A,,,0.188454159,No,ambiguous
Synpcc7942_1533,Moderate increase,0.585,Succinate dehydrogenase subunit B (EC 1.3.5.1),N/A,2.11E-09,2.37E-08,-0.110964265,No,non-essential
Synpcc7942_1534,ND (below stat. threshold of conf.),-0.199,Uncharacterized protein,N/A,2.02E-02,5.90E-02,0.194979563,No,non-essential
Synpcc7942_1535,ND (below stat. threshold of conf.),-0.378,Possible Rubisco chaperonin,N/A,7.02E-03,2.43E-02,0.032829868,No,non-essential
Synpcc7942_1536,ND (below stat. threshold of conf.),0.003,Probable amidotransferase,N/A,9.77E-01,9.85E-01,0.078732563,No,non-essential
Synpcc7942_1537,ND (below stat. threshold of conf.),-0.328,Uncharacterized protein,N/A,4.07E-01,5.61E-01,-0.012044746,No,non-essential
Synpcc7942_1538,ND (below stat. threshold of conf.),-0.180,Uncharacterized protein,N/A,4.60E-01,6.08E-01,0.616174935,No,non-essential
Synpcc7942_1539,ND (below stat. threshold of conf.),0.007,Uncharacterized protein,N/A,9.44E-01,9.64E-01,-0.065747787,No,non-essential
Synpcc7942_1540,ND (below stat. threshold of conf.),-0.105,Uncharacterized protein,N/A,6.49E-01,7.57E-01,0.055477573,No,non-essential
Synpcc7942_1541,ND (below stat. threshold of conf.),-0.281,Flavodoxin,N/A,3.43E-01,4.97E-01,-0.029836789,No,non-essential
Synpcc7942_1542,ND (below stat. threshold of conf.),-0.075,Iron stress-induced chlorophyll-binding protein (CP43'),N/A,2.69E-01,4.15E-01,0.299866518,No,non-essential
Synpcc7942_1543,ND (below stat. threshold of conf.),-0.294,Putative ribonuclease II,N/A,2.03E-01,3.44E-01,-0.165111066,No,non-essential
Synpcc7942_1544,ND (below stat. threshold of conf.),-0.096,Panthotenate metabolism flavoprotein,N/A,5.60E-01,6.92E-01,-0.137476878,No,non-essential
Synpcc7942_1545,ND (below stat. threshold of conf.),-0.018,Ribonuclease VapC (RNase VapC) (EC 3.1.-.-) (Toxin VapC),N/A,8.71E-01,9.21E-01,-0.07745976,No,non-essential
Synpcc7942_1546,Negligable/minor,-0.262,Putative ribonuclease II,N/A,2.46E-04,1.34E-03,-0.033764653,No,non-essential
Synpcc7942_1547,ND (below stat. threshold of conf.),0.026,Uncharacterized protein,N/A,9.39E-01,9.62E-01,0.059569326,No,non-essential
Synpcc7942_1548,ND (below stat. threshold of conf.),-0.067,Probable amidase,N/A,2.73E-01,4.19E-01,0.962120012,Yes,non-essential
Synpcc7942_1549,ND (below stat. threshold of conf.),-0.100,UmuD protein. Serine peptidase. MEROPS family S24,N/A,3.60E-01,5.11E-01,0.017815209,No,non-essential
Synpcc7942_1550,ND (below stat. threshold of conf.),-0.052,DNA-directed DNA polymerase (EC 2.7.7.7),N/A,3.95E-01,5.48E-01,-0.217680802,No,non-essential
Synpcc7942_1551,ND (below stat. threshold of conf.),-0.190,Uncharacterized protein,N/A,2.71E-01,4.17E-01,-0.363973971,No,non-essential
Synpcc7942_1552,Not analyzed,,ketol-acid reductoisomerase,ilvC,,,0.060835588,Yes,essential
Synpcc7942_1553,ND (below stat. threshold of conf.),-0.164,Phosphoesterase PHP-like,N/A,5.28E-02,1.25E-01,0.187522647,Yes,non-essential
Synpcc7942_1554,Not analyzed,,ATP-dependent Clp protease proteolytic subunit,"clpP1, clpPI, clpP",,,0.015647921,No,essential
Synpcc7942_1555,ND (below stat. threshold of conf.),0.138,Protein Thf1,N/A,1.54E-01,2.82E-01,0.285089463,No,non-essential
Synpcc7942_1556,ND (below stat. threshold of conf.),-0.283,Uncharacterized protein,N/A,1.29E-02,4.04E-02,-1.750470001,No,non-essential
Synpcc7942_1557,Moderate decrease,-0.816,RNA polymerase sigma factor,N/A,4.27E-15,7.95E-14,-1.931817511,Yes,non-essential
Synpcc7942_1558,Not analyzed,,hypothetical protein,N/A,,,-0.148507694,No,essential
Synpcc7942_1559,Not analyzed,,hypothetical protein,N/A,,,-0.30262866,No,essential
Synpcc7942_1560,ND (below stat. threshold of conf.),0.018,Uncharacterized protein,N/A,9.41E-01,9.63E-01,-0.353557896,No,non-essential
Synpcc7942_1561,ND (below stat. threshold of conf.),0.005,Uncharacterized protein,N/A,9.77E-01,9.85E-01,-0.35217336,No,non-essential
Synpcc7942_1562,ND (below stat. threshold of conf.),-0.262,ADP-ribosylglycohydrolase-like,N/A,1.02E-02,3.30E-02,-0.328475306,No,non-essential
Synpcc7942_1563,Not analyzed,,signal transduction inhibitor,sis,,,0.353475151,No,ambiguous
Synpcc7942_1564,ND (below stat. threshold of conf.),-0.107,Uncharacterized protein,N/A,5.07E-01,6.45E-01,0.15321425,No,non-essential
Synpcc7942_1565,Not analyzed,,hypothetical protein,N/A,,,0.322181713,No,non-essential
Synpcc7942_1566,ND (below stat. threshold of conf.),-0.097,Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase),N/A,2.48E-01,3.94E-01,-0.043322056,No,beneficial
Synpcc7942_1567,Moderate decrease,-0.730,Possible ribosomal protein L36,N/A,2.19E-04,1.20E-03,-0.861193218,No,non-essential
Synpcc7942_1568,Negligable/minor,-0.437,Uncharacterized protein,N/A,4.80E-04,2.50E-03,-0.723692615,No,non-essential
Synpcc7942_1569,ND (below stat. threshold of conf.),0.129,Uncharacterized protein,N/A,2.99E-01,4.51E-01,-0.249460889,No,non-essential
Synpcc7942_1570,Negligable/minor,-0.279,Probable copper-transporting ATPase PacS (EC 3.6.3.54),N/A,1.18E-07,1.08E-06,-0.425497008,No,non-essential
Synpcc7942_1571,ND (below stat. threshold of conf.),-0.073,MIP family channel proteins (Putative uncharacterized protein SEC0003),N/A,6.13E-01,7.32E-01,-0.316458314,No,non-essential
Synpcc7942_1572,ND (below stat. threshold of conf.),-0.054,Dehydrogenase subunit-like protein,N/A,3.36E-01,4.89E-01,-1.087090068,Yes,non-essential
Synpcc7942_1573,ND (below stat. threshold of conf.),0.105,3-oxoacyl-(Acyl-carrier protein) reductase (Dhg2) (EC 1.1.1.47),N/A,3.85E-01,5.37E-01,-2.148843851,Yes,non-essential
Synpcc7942_1574,ND (below stat. threshold of conf.),-0.083,Probable glucosidase,N/A,8.23E-02,1.75E-01,-1.27534914,Yes,non-essential
Synpcc7942_1575,ND (below stat. threshold of conf.),0.071,Glycogen debranching enzyme (MalQ) (EC 2.4.1.25),N/A,1.71E-01,3.03E-01,-0.645912243,Yes,non-essential
Synpcc7942_1576,ND (below stat. threshold of conf.),-0.173,"EriC (EC 3.6.1.-) (Putative chloride channel protein, CIC family)",N/A,3.40E-02,8.82E-02,0.039528081,No,non-essential
Synpcc7942_1577,Not analyzed,,arginyl-tRNA synthetase,argS,,,0.032181138,No,essential
Synpcc7942_1578,Not analyzed,,Sec-independent protein translocase TatC,"tatC, ycf43",,,0.206417335,No,essential
Synpcc7942_1579,ND (below stat. threshold of conf.),-0.323,Dual specificity protein phosphatase,N/A,1.37E-01,2.58E-01,-0.052765883,No,non-essential
Synpcc7942_1580,ND (below stat. threshold of conf.),-0.050,Uncharacterized protein,N/A,6.49E-01,7.57E-01,-0.058112116,No,non-essential
Synpcc7942_1581,ND (below stat. threshold of conf.),-0.062,"Peptidase M14, carboxypeptidase A (Putative uncharacterized protein SEC0015)",N/A,3.88E-01,5.41E-01,-0.039454517,No,non-essential
Synpcc7942_1582,Not analyzed,,tRNA modification GTPase TrmE,trmE,,,-0.575024116,No,essential
Synpcc7942_1583,ND (below stat. threshold of conf.),-0.291,Uncharacterized protein,N/A,2.53E-02,7.00E-02,0.016274046,No,non-essential
Synpcc7942_1584,ND (below stat. threshold of conf.),-0.066,UPF0061 protein Synpcc7942_1584,N/A,3.52E-01,5.05E-01,-0.14026981,No,non-essential
Synpcc7942_1585,ND (below stat. threshold of conf.),-0.161,"N-acetylmuramoyl-L-alanine amidase, family 2",N/A,1.24E-01,2.41E-01,0.171820282,No,non-essential
Synpcc7942_1586,Not analyzed,,periplasmic sensor signal transduction histidine kinase,N/A,,,0.192380523,Yes,essential
Synpcc7942_1587,ND (below stat. threshold of conf.),-0.278,Integral membrane protein-like (Putative uncharacterized protein SED0021),N/A,3.35E-02,8.69E-02,-0.263090794,No,non-essential
Synpcc7942_1588,Negligable/minor,-0.449,CBS,N/A,2.43E-14,4.06E-13,0.142967704,No,non-essential
Synpcc7942_1589,Moderate decrease,-0.626,Putative modulator of DNA gyrase,N/A,1.27E-16,2.82E-15,0.056418432,No,non-essential
Synpcc7942_1590,Not analyzed,,hypothetical protein,N/A,,,0.3492454,No,essential
Synpcc7942_1591,ND (below stat. threshold of conf.),0.062,30S ribosomal protein S1,N/A,6.59E-01,7.64E-01,0.240535337,No,ambiguous
Synpcc7942_1592,Negligable/minor,-0.456,Creatininase (EC 3.5.2.10) (Creatinine amidohydrolase) (ORF271),N/A,9.90E-08,9.22E-07,0.076563996,No,non-essential
Synpcc7942_1593,Not analyzed,,hypothetical protein,N/A,,,0.03120518,No,essential
Synpcc7942_1594,Not analyzed,,hypothetical protein,N/A,,,0.057862159,No,essential
Synpcc7942_1595,Not analyzed,,acetyl-CoA carboxylase carboxyltransferase subunit alpha,accA,,,0.065973419,No,essential
Synpcc7942_1596,ND (below stat. threshold of conf.),-0.483,Probable short-chain dehydrogenase,N/A,5.12E-02,1.22E-01,-0.151257869,No,beneficial
Synpcc7942_1597,Not analyzed,,GTP cyclohydrolase I,folE,,,0.415222064,No,essential
Synpcc7942_1598,ND (below stat. threshold of conf.),-0.144,Phenazine biosynthesis PhzC/PhzF protein,N/A,7.40E-02,1.61E-01,-0.048609363,No,non-essential
Synpcc7942_1599,ND (below stat. threshold of conf.),-0.123,Uncharacterized protein,N/A,2.36E-01,3.82E-01,0.000247848,No,non-essential
Synpcc7942_1600,ND (below stat. threshold of conf.),0.168,"5',5'''-P-1,P-4-tetraphosphate phosphorylase II-like",N/A,9.80E-02,2.01E-01,0.163615002,No,non-essential
Synpcc7942_1601,ND (below stat. threshold of conf.),-0.237,Uncharacterized protein,N/A,3.25E-01,4.78E-01,0.210361219,No,non-essential
Synpcc7942_1602,Negligable/minor,0.298,tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ (EC 2.1.1.200) (tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase) (tRNA Cm32/Um32 methyltransferase),N/A,4.55E-04,2.38E-03,0.104908529,No,non-essential
Synpcc7942_1603,Negligable/minor,-0.421,Beta-lactamase,N/A,2.72E-06,2.08E-05,0.052144573,No,non-essential
Synpcc7942_1604,Moderate decrease,-0.517,Uncharacterized protein,N/A,2.17E-03,9.14E-03,0.089965134,No,beneficial
Synpcc7942_1605,ND (below stat. threshold of conf.),-0.268,Uncharacterized protein,N/A,4.54E-03,1.66E-02,0.058493883,No,non-essential
Synpcc7942_1606,ND (below stat. threshold of conf.),-0.399,Beta-Ig-H3/fasciclin,N/A,3.63E-01,5.15E-01,0.82470121,No,ambiguous
Synpcc7942_1607,ND (below stat. threshold of conf.),-0.123,Probable porin major outer membrane protein (SomA-like protein Rev11),N/A,4.52E-02,1.09E-01,0.101606386,No,non-essential
Synpcc7942_1608,Not analyzed,,mannose-1-phosphate guanylyltransferase (GDP),manC,,,0.136892212,No,essential
Synpcc7942_1609,Not analyzed,,Protein splicing (intein) site,nrdJ,,,-0.209581327,No,essential
Synpcc7942_1610,ND (below stat. threshold of conf.),-0.193,NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta),N/A,3.12E-03,1.24E-02,-1.55085068,Yes,non-essential
Synpcc7942_1611,ND (below stat. threshold of conf.),-0.089,Nicotinamide nucleotide transhydrogenase alpha subunit-like,N/A,4.40E-01,5.91E-01,-3.366063674,Yes,non-essential
Synpcc7942_1612,Negligable/minor,-0.325,Pyridine nucleotide transhydrogenase alpha subunit,N/A,3.72E-06,2.79E-05,-3.45921431,Yes,non-essential
Synpcc7942_1613,Not analyzed,,hypothetical protein,N/A,,,0.221736696,No,essential
Synpcc7942_1614,Not analyzed,,50S ribosomal protein L34,"rpmH, rpl34",,,0.097116293,No,essential
Synpcc7942_1615,Not analyzed,,ribonuclease P,rnpA,,,0.206991806,No,essential
Synpcc7942_1616,ND (below stat. threshold of conf.),0.628,Uncharacterized protein,N/A,2.08E-02,6.00E-02,0.230223955,No,ambiguous
Synpcc7942_1617,Not analyzed,,putative inner membrane protein translocase component YidC,yidC,,,0.266030612,No,essential
Synpcc7942_1618,ND (below stat. threshold of conf.),-0.220,Single-stranded nucleic acid binding R3H,N/A,3.20E-01,4.73E-01,0.242484779,No,non-essential
Synpcc7942_1619,Negligable/minor,-0.465,Metal-binding possibly nucleic acid-binding protein-like,N/A,2.07E-03,8.76E-03,0.19867082,No,non-essential
Synpcc7942_1620,ND (below stat. threshold of conf.),-0.239,ATPase,N/A,2.06E-02,5.96E-02,0.042462637,No,non-essential
Synpcc7942_1621,Not analyzed,,Elongator protein 3/MiaB/NifB,N/A,,,-0.840258622,Yes,essential
